,mean_abs_shap,n_models
white_blood_cell_count,11.98657198562369,5
blood_glucose_random,8.166482420291233,5
urea_creatinine_product,5.134288623020725,5
appetite,5.024058297982348,1
hemoglobin_creatinine_ratio,3.810930711786394,5
blood_urea,3.184327388162176,5
specific_gravity,2.714259305795518,5
anemia_risk_score,2.517946552553622,5
albumin,2.4347048736785273,5
potassium,2.404932437924354,5
albumin_specific_gravity_interaction,2.2917741436036567,5
hemoglobin,2.2054387123277186,5
cardiovascular_burden_score,2.198366111167351,5
diabetes_mellitus,1.8601040098602777,5
packed_cell_volume,1.8566482288223658,5
bun_creatinine_ratio,1.7021412969129064,5
red_blood_cell_count,1.5579170355234164,5
age_creatinine_interaction,1.5494395108356172,5
sodium_potassium_ratio,1.5374683211435944,5
serum_creatinine,1.383294982843456,5
hypertension,1.3145137639955702,5
sodium,0.7086592864940855,5
blood_pressure,0.7064585368847698,5
bp_risk_score,0.7043087778727098,5
sugar,0.0021731837650223206,1
